Target,N1,N2,N3,N4,N5,N6,N7,N8,N9
80,0,0,0,0,0,2,3.42E-06,4.96E-06,36
21,32,0,0,0,0,12,0.000816064,0.000372318,37
50,75,0,0,0,0,6,0.000322387,7.46E-05,37
67,0,34,0,0,0,26,0.000633999,0.000536068,38
33,0,0,0,0,6,2,0.000130945,5.24E-05,38
36,43,0,0,0,0,4,4.91E-05,9.63E-05,42
124,234,0,0,0,0,138,0.00942208,0.001908966,58
89,43,0,0,0,0,4,0.000239004,0.001068851,60
34,92,0,0,0,0,12,0.000237955,0.000157632,60
23,13,0,0,0,0,12,2.17E-05,8.36E-06,60
23,13,0,0,0,0,12,2.17E-05,8.36E-06,60
224,17,0,0,0,0,10,5.44E-05,7.58E-05,62
31,0,2,0,0,0,10,3.89E-05,2.56E-05,62
48,16,0,0,0,0,2,9.09E-06,3.17E-05,65
47,16,0,0,0,0,2,9.09E-06,2.65E-05,65
26,13,0,0,0,0,5,4.49E-06,9.85E-06,65
21,12,0,0,0,0,3,3.48E-06,8.36E-06,65
54,40,0,0,0,0,8,0.000247301,0.0001038,70
63,47,0,0,0,0,20,5.57E-05,9.32E-05,70
38,36,0,0,0,0,13,8.21E-05,3.79E-05,70
32,25,0,0,0,0,15,1.87E-05,1.13E-05,70
64,25,0,0,0,0,15,1.87E-05,1.13E-05,70
46,36,0,0,0,0,17,3.14E-05,2.21E-05,70
60,40,0,0,0,0,23,0.00017387,0.000121292,70
190,0,2,2,20,0,71,0.000354709,0.001032271,70
63,0,0,0,0,0,15,0.000134642,9.43E-05,70
144,0,1,1,12,162,121,0.000516131,0.000223434,70
96,0,0,0,6,18,17,0.00040514,0.000111909,70
124,0,1,11,10,2,24,0.000163452,0.000425712,70
124,0,1,11,10,2,24,0.000163452,0.000425712,70
82,0,12,0,2,0,12,2.97E-05,2.11E-05,70
220,0,4,0,8,0,4,1.53E-05,2.26E-05,70
21,0,2,0,1,0,4,1.48E-05,1.40E-05,70
132,31,0,0,0,0,10,3.61E-05,0.000121915,70
100,40,0,0,0,0,4,0.000199215,0.000130592,70
158,31,0,0,0,0,10,3.76E-05,0.000123337,70
48,0,21,0,0,0,0,8.79E-06,1.10E-05,70
46,0,21,0,0,0,0,7.49E-06,9.84E-06,70
88,0,28,0,0,0,0,6.52E-06,3.28E-05,70
88,28,0,0,0,0,21,1.90E-05,1.86E-05,70
23,18,0,0,0,0,2,8.01E-06,4.03E-05,70
21,25,0,0,0,0,10,8.39E-05,0.000104334,70
43,38,0,0,0,0,12,1.53E-05,4.05E-05,70
28,33,0,0,0,0,13,0.00016981,7.00E-05,70
225,43,0,0,0,0,13,0.0003347,0.000577342,70
176,49,0,0,0,0,13,0.000521788,0.001151465,70
55,40,0,0,0,0,5,5.84E-05,7.20E-05,70
49,5,0,0,0,0,0,3.51E-06,1.37E-05,70
32,13,0,0,0,0,8,2.51E-06,4.16E-06,70
32,9,0,0,0,0,2,1.73E-06,2.15E-06,70
30,17,0,0,0,0,7,1.28E-05,9.64E-06,70
36,12,0,0,0,0,2,1.72E-05,1.21E-05,70
90,10,0,0,0,0,2,2.20E-05,1.86E-05,70
95,24,0,0,0,0,2,6.59E-05,0.000359528,70
55,39,0,0,0,0,11,3.60E-05,3.11E-05,70
135,29,0,0,0,0,9,1.25E-05,1.92E-05,70
39,0,0,0,0,0,3,2.47E-05,3.09E-05,70
207,0,2,0,2,6,5,0.004286242,0.003492874,70
33,0,0,0,0,0,6,4.02E-07,1.40E-06,70
33,12,0,0,0,0,3,2.34E-05,1.51E-05,70
24,10,0,0,0,0,2,1.84E-05,9.60E-06,70
54,10,0,0,0,0,2,2.43E-05,1.43E-05,70
61,26,0,0,0,0,3,4.11E-05,8.09E-05,71
52,24,0,0,0,0,3,4.13E-05,8.07E-05,71
98,14,0,0,0,0,11,1.62E-05,3.14E-05,71
45,0,0,0,0,0,4,0.000606685,0.002877314,73
41,0,0,0,0,0,5,0.000604308,0.002739986,73
28,0,0,1,1,0,15,3.67E-05,5.40E-05,75
28,0,0,1,1,0,15,3.67E-05,5.40E-05,75
200,0,8,0,29,0,18,0.001086165,0.000390339,76
22,12,0,0,0,0,4,3.85E-05,0.000116057,76
32,0,0,0,12,0,23,0.00067393,5.65E-05,77
22,11,0,0,0,0,1,0.001324835,0.001361615,77
22,11,0,0,0,0,1,0.001324835,0.001361615,77
36,0,0,0,16,0,11,0.005201747,0.002264898,79
